dzien,data,Pięcioksiąg i historyczne,Prorocy,Mądrościowe,Psalm,Ewangelie i Dzieje,Listy i Apokalipsa,znaki,linki
181,2027-02-07,2 Sm 7,Ez 7,Mdr 6,Ps 80,,2 Tes 1,12851,https://biblia.deon.pl/otworz.php?skrot=2%20Sm%207 https://biblia.deon.pl/otworz.php?skrot=Ez%207 https://biblia.deon.pl/otworz.php?skrot=Mdr%206 https://biblia.deon.pl/otworz.php?skrot=Ps%2080 https://biblia.deon.pl/otworz.php?skrot=2%20Tes%201
182,2027-02-08,2 Sm 8-10,,,,Łk 18,,11657,https://biblia.deon.pl/otworz.php?skrot=2%20Sm%208 https://biblia.deon.pl/otworz.php?skrot=2%20Sm%209 https://biblia.deon.pl/otworz.php?skrot=2%20Sm%2010 https://biblia.deon.pl/otworz.php?skrot=%A3k%2018
183,2027-02-09,2 Sm 11,,Mdr 7,Ps 81,,2 Tes 2-3,12411,https://biblia.deon.pl/otworz.php?skrot=2%20Sm%2011 https://biblia.deon.pl/otworz.php?skrot=Mdr%207 https://biblia.deon.pl/otworz.php?skrot=Ps%2081 https://biblia.deon.pl/otworz.php?skrot=2%20Tes%202 https://biblia.deon.pl/otworz.php?skrot=2%20Tes%203
184,2027-02-10,2 Sm 12,Ez 8-10,,,,,12464,https://biblia.deon.pl/otworz.php?skrot=2%20Sm%2012 https://biblia.deon.pl/otworz.php?skrot=Ez%208 https://biblia.deon.pl/otworz.php?skrot=Ez%209 https://biblia.deon.pl/otworz.php?skrot=Ez%2010
185,2027-02-11,2 Sm 13,,,,Łk 19,,10749,https://biblia.deon.pl/otworz.php?skrot=2%20Sm%2013 https://biblia.deon.pl/otworz.php?skrot=%A3k%2019
186,2027-02-12,2 Sm 14,,Mdr 8,Ps 82,,1 Tm 1,10664,https://biblia.deon.pl/otworz.php?skrot=2%20Sm%2014 https://biblia.deon.pl/otworz.php?skrot=Mdr%208 https://biblia.deon.pl/otworz.php?skrot=Ps%2082 https://biblia.deon.pl/otworz.php?skrot=1%20Tm%201
187,2027-02-13,2 Sm 15,Ez 11-12,,Ps 83,,,13594,https://biblia.deon.pl/otworz.php?skrot=2%20Sm%2015 https://biblia.deon.pl/otworz.php?skrot=Ez%2011 https://biblia.deon.pl/otworz.php?skrot=Ez%2012 https://biblia.deon.pl/otworz.php?skrot=Ps%2083
188,2027-02-14,2 Sm 16-17,,,,Łk 20,,12689,https://biblia.deon.pl/otworz.php?skrot=2%20Sm%2016 https://biblia.deon.pl/otworz.php?skrot=2%20Sm%2017 https://biblia.deon.pl/otworz.php?skrot=%A3k%2020
189,2027-02-15,2 Sm 18,Ez 13,Mdr 9,Ps 84,,1 Tm 2,13050,https://biblia.deon.pl/otworz.php?skrot=2%20Sm%2018 https://biblia.deon.pl/otworz.php?skrot=Ez%2013 https://biblia.deon.pl/otworz.php?skrot=Mdr%209 https://biblia.deon.pl/otworz.php?skrot=Ps%2084 https://biblia.deon.pl/otworz.php?skrot=1%20Tm%202
190,2027-02-16,2 Sm 19,Ez 14,,,,1 Tm 3,12439,https://biblia.deon.pl/otworz.php?skrot=2%20Sm%2019 https://biblia.deon.pl/otworz.php?skrot=Ez%2014 https://biblia.deon.pl/otworz.php?skrot=1%20Tm%203
191,2027-02-17,2 Sm 20,Ez 15,Mdr 10-11,,,1 Tm 4,11944,https://biblia.deon.pl/otworz.php?skrot=2%20Sm%2020 https://biblia.deon.pl/otworz.php?skrot=Ez%2015 https://biblia.deon.pl/otworz.php?skrot=Mdr%2010 https://biblia.deon.pl/otworz.php?skrot=Mdr%2011 https://biblia.deon.pl/otworz.php?skrot=1%20Tm%204
192,2027-02-18,2 Sm 21,,,Ps 85,Łk 21,1 Tm 5,11495,https://biblia.deon.pl/otworz.php?skrot=2%20Sm%2021 https://biblia.deon.pl/otworz.php?skrot=Ps%2085 https://biblia.deon.pl/otworz.php?skrot=%A3k%2021 https://biblia.deon.pl/otworz.php?skrot=1%20Tm%205
193,2027-02-19,2 Sm 22,Ez 16,,,,,12979,https://biblia.deon.pl/otworz.php?skrot=2%20Sm%2022 https://biblia.deon.pl/otworz.php?skrot=Ez%2016
194,2027-02-20,2 Sm 23-24,,,,Łk 22,,14975,https://biblia.deon.pl/otworz.php?skrot=2%20Sm%2023 https://biblia.deon.pl/otworz.php?skrot=2%20Sm%2024 https://biblia.deon.pl/otworz.php?skrot=%A3k%2022
195,2027-02-21,1 Krl 1,,Mdr 12,Ps 86,,,12184,https://biblia.deon.pl/otworz.php?skrot=1%20Krl%201 https://biblia.deon.pl/otworz.php?skrot=Mdr%2012 https://biblia.deon.pl/otworz.php?skrot=Ps%2086
196,2027-02-22,1 Krl 2,,,Ps 87,,1 Tm 6,10486,https://biblia.deon.pl/otworz.php?skrot=1%20Krl%202 https://biblia.deon.pl/otworz.php?skrot=Ps%2087 https://biblia.deon.pl/otworz.php?skrot=1%20Tm%206
197,2027-02-23,1 Krl 3-4,Ez 17-18,,,,,13911,https://biblia.deon.pl/otworz.php?skrot=1%20Krl%203 https://biblia.deon.pl/otworz.php?skrot=1%20Krl%204 https://biblia.deon.pl/otworz.php?skrot=Ez%2017 https://biblia.deon.pl/otworz.php?skrot=Ez%2018
198,2027-02-24,1 Krl 5,Ez 19,,,Łk 23,2 Tm 1,14234,https://biblia.deon.pl/otworz.php?skrot=1%20Krl%205 https://biblia.deon.pl/otworz.php?skrot=Ez%2019 https://biblia.deon.pl/otworz.php?skrot=%A3k%2023 https://biblia.deon.pl/otworz.php?skrot=2%20Tm%201
199,2027-02-25,1 Krl 6,,Mdr 13-14,Ps 88,,2 Tm 2,15250,https://biblia.deon.pl/otworz.php?skrot=1%20Krl%206 https://biblia.deon.pl/otworz.php?skrot=Mdr%2013 https://biblia.deon.pl/otworz.php?skrot=Mdr%2014 https://biblia.deon.pl/otworz.php?skrot=Ps%2088 https://biblia.deon.pl/otworz.php?skrot=2%20Tm%202
200,2027-02-26,1 Krl 7,Ez 20,,,,,14042,https://biblia.deon.pl/otworz.php?skrot=1%20Krl%207 https://biblia.deon.pl/otworz.php?skrot=Ez%2020
201,2027-02-27,1 Krl 8,,,Ps 89,,,15147,https://biblia.deon.pl/otworz.php?skrot=1%20Krl%208 https://biblia.deon.pl/otworz.php?skrot=Ps%2089
202,2027-02-28,1 Krl 9-10,,,,Łk 24,,13503,https://biblia.deon.pl/otworz.php?skrot=1%20Krl%209 https://biblia.deon.pl/otworz.php?skrot=1%20Krl%2010 https://biblia.deon.pl/otworz.php?skrot=%A3k%2024
203,2027-03-01,1 Krl 11,,Mdr 15,Ps 90,,2 Tm 3,12139,https://biblia.deon.pl/otworz.php?skrot=1%20Krl%2011 https://biblia.deon.pl/otworz.php?skrot=Mdr%2015 https://biblia.deon.pl/otworz.php?skrot=Ps%2090 https://biblia.deon.pl/otworz.php?skrot=2%20Tm%203
204,2027-03-02,1 Krl 12,Ez 21,,,,2 Tm 4,12334,https://biblia.deon.pl/otworz.php?skrot=1%20Krl%2012 https://biblia.deon.pl/otworz.php?skrot=Ez%2021 https://biblia.deon.pl/otworz.php?skrot=2%20Tm%204
205,2027-03-03,1 Krl 13,Ez 22,,,J 1,,14384,https://biblia.deon.pl/otworz.php?skrot=1%20Krl%2013 https://biblia.deon.pl/otworz.php?skrot=Ez%2022 https://biblia.deon.pl/otworz.php?skrot=J%201
206,2027-03-04,1 Krl 14,,Mdr 16,Ps 91,,Tt 1,11240,https://biblia.deon.pl/otworz.php?skrot=1%20Krl%2014 https://biblia.deon.pl/otworz.php?skrot=Mdr%2016 https://biblia.deon.pl/otworz.php?skrot=Ps%2091 https://biblia.deon.pl/otworz.php?skrot=Tt%201
207,2027-03-05,1 Krl 15,Ez 23,,,,,11186,https://biblia.deon.pl/otworz.php?skrot=1%20Krl%2015 https://biblia.deon.pl/otworz.php?skrot=Ez%2023
208,2027-03-06,1 Krl 16,,,Ps 92,J 2,Tt 2,10268,https://biblia.deon.pl/otworz.php?skrot=1%20Krl%2016 https://biblia.deon.pl/otworz.php?skrot=Ps%2092 https://biblia.deon.pl/otworz.php?skrot=J%202 https://biblia.deon.pl/otworz.php?skrot=Tt%202
209,2027-03-07,1 Krl 17,Ez 24,Mdr 17,,,Tt 3,10925,https://biblia.deon.pl/otworz.php?skrot=1%20Krl%2017 https://biblia.deon.pl/otworz.php?skrot=Ez%2024 https://biblia.deon.pl/otworz.php?skrot=Mdr%2017 https://biblia.deon.pl/otworz.php?skrot=Tt%203
210,2027-03-08,1 Krl 18,,,Ps 93,J 3,,11207,https://biblia.deon.pl/otworz.php?skrot=1%20Krl%2018 https://biblia.deon.pl/otworz.php?skrot=Ps%2093 https://biblia.deon.pl/otworz.php?skrot=J%203
211,2027-03-09,1 Krl 19,Ez 25,Mdr 18,Ps 94,,Flm 1,12986,https://biblia.deon.pl/otworz.php?skrot=1%20Krl%2019 https://biblia.deon.pl/otworz.php?skrot=Ez%2025 https://biblia.deon.pl/otworz.php?skrot=Mdr%2018 https://biblia.deon.pl/otworz.php?skrot=Ps%2094 https://biblia.deon.pl/otworz.php?skrot=Flm%201
212,2027-03-10,1 Krl 20,Ez 26,,,,Hbr 1,11821,https://biblia.deon.pl/otworz.php?skrot=1%20Krl%2020 https://biblia.deon.pl/otworz.php?skrot=Ez%2026 https://biblia.deon.pl/otworz.php?skrot=Hbr%201
213,2027-03-11,1 Krl 21,Ez 27,,,J 4,,14303,https://biblia.deon.pl/otworz.php?skrot=1%20Krl%2021 https://biblia.deon.pl/otworz.php?skrot=Ez%2027 https://biblia.deon.pl/otworz.php?skrot=J%204
214,2027-03-12,1 Krl 22; 2 Krl 1,,Mdr 19,,,,13121,https://biblia.deon.pl/otworz.php?skrot=1%20Krl%2022 https://biblia.deon.pl/otworz.php?skrot=2%20Krl%201 https://biblia.deon.pl/otworz.php?skrot=Mdr%2019
215,2027-03-13,2 Krl 2,Ez 28,,Ps 95,,Hbr 2,11163,https://biblia.deon.pl/otworz.php?skrot=2%20Krl%202 https://biblia.deon.pl/otworz.php?skrot=Ez%2028 https://biblia.deon.pl/otworz.php?skrot=Ps%2095 https://biblia.deon.pl/otworz.php?skrot=Hbr%202
216,2027-03-14,2 Krl 3,,Syr 1,Ps 96,J 5,,12549,https://biblia.deon.pl/otworz.php?skrot=2%20Krl%203 https://biblia.deon.pl/otworz.php?skrot=Syr%201 https://biblia.deon.pl/otworz.php?skrot=Ps%2096 https://biblia.deon.pl/otworz.php?skrot=J%205
217,2027-03-15,2 Krl 4,Ez 29,Syr 2,,,Hbr 3,13043,https://biblia.deon.pl/otworz.php?skrot=2%20Krl%204 https://biblia.deon.pl/otworz.php?skrot=Ez%2029 https://biblia.deon.pl/otworz.php?skrot=Syr%202 https://biblia.deon.pl/otworz.php?skrot=Hbr%203
218,2027-03-16,2 Krl 5-6,,,Ps 97,,Hbr 4,12785,https://biblia.deon.pl/otworz.php?skrot=2%20Krl%205 https://biblia.deon.pl/otworz.php?skrot=2%20Krl%206 https://biblia.deon.pl/otworz.php?skrot=Ps%2097 https://biblia.deon.pl/otworz.php?skrot=Hbr%204
219,2027-03-17,2 Krl 7,Ez 30-31,Syr 3,,,,12379,https://biblia.deon.pl/otworz.php?skrot=2%20Krl%207 https://biblia.deon.pl/otworz.php?skrot=Ez%2030 https://biblia.deon.pl/otworz.php?skrot=Ez%2031 https://biblia.deon.pl/otworz.php?skrot=Syr%203
220,2027-03-18,2 Krl 8,,,,J 6,Hbr 5,13483,https://biblia.deon.pl/otworz.php?skrot=2%20Krl%208 https://biblia.deon.pl/otworz.php?skrot=J%206 https://biblia.deon.pl/otworz.php?skrot=Hbr%205
221,2027-03-19,2 Krl 9,Ez 32,Syr 4,,,,13121,https://biblia.deon.pl/otworz.php?skrot=2%20Krl%209 https://biblia.deon.pl/otworz.php?skrot=Ez%2032 https://biblia.deon.pl/otworz.php?skrot=Syr%204
222,2027-03-20,2 Krl 10-11,,,Ps 98,,Hbr 6,12036,https://biblia.deon.pl/otworz.php?skrot=2%20Krl%2010 https://biblia.deon.pl/otworz.php?skrot=2%20Krl%2011 https://biblia.deon.pl/otworz.php?skrot=Ps%2098 https://biblia.deon.pl/otworz.php?skrot=Hbr%206
223,2027-03-21,2 Krl 12-13,Ez 33,,,,,12323,https://biblia.deon.pl/otworz.php?skrot=2%20Krl%2012 https://biblia.deon.pl/otworz.php?skrot=2%20Krl%2013 https://biblia.deon.pl/otworz.php?skrot=Ez%2033
224,2027-03-22,2 Krl 14,,,Ps 99,J 7,,10414,https://biblia.deon.pl/otworz.php?skrot=2%20Krl%2014 https://biblia.deon.pl/otworz.php?skrot=Ps%2099 https://biblia.deon.pl/otworz.php?skrot=J%207
225,2027-03-23,2 Krl 15,,Syr 5,Ps 100,,Hbr 7,10870,https://biblia.deon.pl/otworz.php?skrot=2%20Krl%2015 https://biblia.deon.pl/otworz.php?skrot=Syr%205 https://biblia.deon.pl/otworz.php?skrot=Ps%20100 https://biblia.deon.pl/otworz.php?skrot=Hbr%207
226,2027-03-24,2 Krl 16,Ez 34-35,Syr 6,,,,12371,https://biblia.deon.pl/otworz.php?skrot=2%20Krl%2016 https://biblia.deon.pl/otworz.php?skrot=Ez%2034 https://biblia.deon.pl/otworz.php?skrot=Ez%2035 https://biblia.deon.pl/otworz.php?skrot=Syr%206
227,2027-03-25,2 Krl 17-18,,,,,Hbr 8,13903,https://biblia.deon.pl/otworz.php?skrot=2%20Krl%2017 https://biblia.deon.pl/otworz.php?skrot=2%20Krl%2018 https://biblia.deon.pl/otworz.php?skrot=Hbr%208
228,2027-03-26,2 Krl 19,,,Ps 101,J 8,,12773,https://biblia.deon.pl/otworz.php?skrot=2%20Krl%2019 https://biblia.deon.pl/otworz.php?skrot=Ps%20101 https://biblia.deon.pl/otworz.php?skrot=J%208
229,2027-03-27,2 Krl 20,Ez 36,,,,Hbr 9,12312,https://biblia.deon.pl/otworz.php?skrot=2%20Krl%2020 https://biblia.deon.pl/otworz.php?skrot=Ez%2036 https://biblia.deon.pl/otworz.php?skrot=Hbr%209
230,2027-03-28,2 Krl 21-22,Ez 37,Syr 7,,,,13818,https://biblia.deon.pl/otworz.php?skrot=2%20Krl%2021 https://biblia.deon.pl/otworz.php?skrot=2%20Krl%2022 https://biblia.deon.pl/otworz.php?skrot=Ez%2037 https://biblia.deon.pl/otworz.php?skrot=Syr%207
231,2027-03-29,2 Krl 23,Ez 38,,Ps 102,,,12574,https://biblia.deon.pl/otworz.php?skrot=2%20Krl%2023 https://biblia.deon.pl/otworz.php?skrot=Ez%2038 https://biblia.deon.pl/otworz.php?skrot=Ps%20102
232,2027-03-30,2 Krl 24-25,,Syr 8,,J 9,,14195,https://biblia.deon.pl/otworz.php?skrot=2%20Krl%2024 https://biblia.deon.pl/otworz.php?skrot=2%20Krl%2025 https://biblia.deon.pl/otworz.php?skrot=Syr%208 https://biblia.deon.pl/otworz.php?skrot=J%209
233,2027-03-31,1 Krn 1-2,,Syr 9,Ps 103,,Hbr 10,15380,https://biblia.deon.pl/otworz.php?skrot=1%20Krn%201 https://biblia.deon.pl/otworz.php?skrot=1%20Krn%202 https://biblia.deon.pl/otworz.php?skrot=Syr%209 https://biblia.deon.pl/otworz.php?skrot=Ps%20103 https://biblia.deon.pl/otworz.php?skrot=Hbr%2010
234,2027-04-01,1 Krn 3,Ez 39-40,,,,,13832,https://biblia.deon.pl/otworz.php?skrot=1%20Krn%203 https://biblia.deon.pl/otworz.php?skrot=Ez%2039 https://biblia.deon.pl/otworz.php?skrot=Ez%2040
235,2027-04-02,1 Krn 4,,,,J 10,,8130,https://biblia.deon.pl/otworz.php?skrot=1%20Krn%204 https://biblia.deon.pl/otworz.php?skrot=J%2010
236,2027-04-03,1 Krn 5,,Syr 10,Ps 104,,,9837,https://biblia.deon.pl/otworz.php?skrot=1%20Krn%205 https://biblia.deon.pl/otworz.php?skrot=Syr%2010 https://biblia.deon.pl/otworz.php?skrot=Ps%20104
237,2027-04-04,1 Krn 6-7,,,,,Hbr 11,14513,https://biblia.deon.pl/otworz.php?skrot=1%20Krn%206 https://biblia.deon.pl/otworz.php?skrot=1%20Krn%207 https://biblia.deon.pl/otworz.php?skrot=Hbr%2011
238,2027-04-05,1 Krn 8,,Syr 11,Ps 105,J 11,,14325,https://biblia.deon.pl/otworz.php?skrot=1%20Krn%208 https://biblia.deon.pl/otworz.php?skrot=Syr%2011 https://biblia.deon.pl/otworz.php?skrot=Ps%20105 https://biblia.deon.pl/otworz.php?skrot=J%2011
239,2027-04-06,1 Krn 9-10,Ez 41-42,,,,,12938,https://biblia.deon.pl/otworz.php?skrot=1%20Krn%209 https://biblia.deon.pl/otworz.php?skrot=1%20Krn%2010 https://biblia.deon.pl/otworz.php?skrot=Ez%2041 https://biblia.deon.pl/otworz.php?skrot=Ez%2042
240,2027-04-07,1 Krn 11,Ez 43,Syr 12,Ps 106,,,14410,https://biblia.deon.pl/otworz.php?skrot=1%20Krn%2011 https://biblia.deon.pl/otworz.php?skrot=Ez%2043 https://biblia.deon.pl/otworz.php?skrot=Syr%2012 https://biblia.deon.pl/otworz.php?skrot=Ps%20106
241,2027-04-08,1 Krn 12,,,,J 12,Hbr 12,14181,https://biblia.deon.pl/otworz.php?skrot=1%20Krn%2012 https://biblia.deon.pl/otworz.php?skrot=J%2012 https://biblia.deon.pl/otworz.php?skrot=Hbr%2012
242,2027-04-09,1 Krn 13-14,Ez 44,,Ps 107,,,11582,https://biblia.deon.pl/otworz.php?skrot=1%20Krn%2013 https://biblia.deon.pl/otworz.php?skrot=1%20Krn%2014 https://biblia.deon.pl/otworz.php?skrot=Ez%2044 https://biblia.deon.pl/otworz.php?skrot=Ps%20107
243,2027-04-10,1 Krn 15-16,,Syr 13,,,Hbr 13,12900,https://biblia.deon.pl/otworz.php?skrot=1%20Krn%2015 https://biblia.deon.pl/otworz.php?skrot=1%20Krn%2016 https://biblia.deon.pl/otworz.php?skrot=Syr%2013 https://biblia.deon.pl/otworz.php?skrot=Hbr%2013
244,2027-04-11,1 Krn 17,Ez 45,,,J 13,,12013,https://biblia.deon.pl/otworz.php?skrot=1%20Krn%2017 https://biblia.deon.pl/otworz.php?skrot=Ez%2045 https://biblia.deon.pl/otworz.php?skrot=J%2013
245,2027-04-12,1 Krn 18-19,Ez 46,Syr 14,Ps 108,,,12852,https://biblia.deon.pl/otworz.php?skrot=1%20Krn%2018 https://biblia.deon.pl/otworz.php?skrot=1%20Krn%2019 https://biblia.deon.pl/otworz.php?skrot=Ez%2046 https://biblia.deon.pl/otworz.php?skrot=Syr%2014 https://biblia.deon.pl/otworz.php?skrot=Ps%20108
246,2027-04-13,1 Krn 20-21,,Syr 15,Ps 109,,Jk 1,12554,https://biblia.deon.pl/otworz.php?skrot=1%20Krn%2020 https://biblia.deon.pl/otworz.php?skrot=1%20Krn%2021 https://biblia.deon.pl/otworz.php?skrot=Syr%2015 https://biblia.deon.pl/otworz.php?skrot=Ps%20109 https://biblia.deon.pl/otworz.php?skrot=Jk%201
247,2027-04-14,1 Krn 22-23,Ez 47,,,J 14,,13206,https://biblia.deon.pl/otworz.php?skrot=1%20Krn%2022 https://biblia.deon.pl/otworz.php?skrot=1%20Krn%2023 https://biblia.deon.pl/otworz.php?skrot=Ez%2047 https://biblia.deon.pl/otworz.php?skrot=J%2014
248,2027-04-15,1 Krn 24-27,,,,,,13057,https://biblia.deon.pl/otworz.php?skrot=1%20Krn%2024 https://biblia.deon.pl/otworz.php?skrot=1%20Krn%2025 https://biblia.deon.pl/otworz.php?skrot=1%20Krn%2026 https://biblia.deon.pl/otworz.php?skrot=1%20Krn%2027
249,2027-04-16,1 Krn 28,,,Ps 110,J 15,Jk 2,10502,https://biblia.deon.pl/otworz.php?skrot=1%20Krn%2028 https://biblia.deon.pl/otworz.php?skrot=Ps%20110 https://biblia.deon.pl/otworz.php?skrot=J%2015 https://biblia.deon.pl/otworz.php?skrot=Jk%202
250,2027-04-17,1 Krn 29,Ez 48,Syr 16,,,,12558,https://biblia.deon.pl/otworz.php?skrot=1%20Krn%2029 https://biblia.deon.pl/otworz.php?skrot=Ez%2048 https://biblia.deon.pl/otworz.php?skrot=Syr%2016
251,2027-04-18,2 Krn 1-2,Dn 1,,Ps 111,,Jk 3,11679,https://biblia.deon.pl/otworz.php?skrot=2%20Krn%201 https://biblia.deon.pl/otworz.php?skrot=2%20Krn%202 https://biblia.deon.pl/otworz.php?skrot=Dn%201 https://biblia.deon.pl/otworz.php?skrot=Ps%20111 https://biblia.deon.pl/otworz.php?skrot=Jk%203
252,2027-04-19,2 Krn 3-5,,,,J 16,Jk 4,13014,https://biblia.deon.pl/otworz.php?skrot=2%20Krn%203 https://biblia.deon.pl/otworz.php?skrot=2%20Krn%204 https://biblia.deon.pl/otworz.php?skrot=2%20Krn%205 https://biblia.deon.pl/otworz.php?skrot=J%2016 https://biblia.deon.pl/otworz.php?skrot=Jk%204
253,2027-04-20,2 Krn 6,,Syr 17-18,,,,12198,https://biblia.deon.pl/otworz.php?skrot=2%20Krn%206 https://biblia.deon.pl/otworz.php?skrot=Syr%2017 https://biblia.deon.pl/otworz.php?skrot=Syr%2018
254,2027-04-21,2 Krn 7,Dn 2,,Ps 112,,,11749,https://biblia.deon.pl/otworz.php?skrot=2%20Krn%207 https://biblia.deon.pl/otworz.php?skrot=Dn%202 https://biblia.deon.pl/otworz.php?skrot=Ps%20112
255,2027-04-22,2 Krn 8-9,,,,J 17,Jk 5,12588,https://biblia.deon.pl/otworz.php?skrot=2%20Krn%208 https://biblia.deon.pl/otworz.php?skrot=2%20Krn%209 https://biblia.deon.pl/otworz.php?skrot=J%2017 https://biblia.deon.pl/otworz.php?skrot=Jk%205
256,2027-04-23,2 Krn 10,,Syr 19,Ps 113,J 18,,10517,https://biblia.deon.pl/otworz.php?skrot=2%20Krn%2010 https://biblia.deon.pl/otworz.php?skrot=Syr%2019 https://biblia.deon.pl/otworz.php?skrot=Ps%20113 https://biblia.deon.pl/otworz.php?skrot=J%2018
257,2027-04-24,2 Krn 11-13,,,Ps 114,,1 P 1,12195,https://biblia.deon.pl/otworz.php?skrot=2%20Krn%2011 https://biblia.deon.pl/otworz.php?skrot=2%20Krn%2012 https://biblia.deon.pl/otworz.php?skrot=2%20Krn%2013 https://biblia.deon.pl/otworz.php?skrot=Ps%20114 https://biblia.deon.pl/otworz.php?skrot=1%20P%201
258,2027-04-25,2 Krn 14,Dn 3,,,,,14253,https://biblia.deon.pl/otworz.php?skrot=2%20Krn%2014 https://biblia.deon.pl/otworz.php?skrot=Dn%203
259,2027-04-26,2 Krn 15-16,,Syr 20,,J 19,,12489,https://biblia.deon.pl/otworz.php?skrot=2%20Krn%2015 https://biblia.deon.pl/otworz.php?skrot=2%20Krn%2016 https://biblia.deon.pl/otworz.php?skrot=Syr%2020 https://biblia.deon.pl/otworz.php?skrot=J%2019
260,2027-04-27,2 Krn 17-19,,,,,1 P 2,12268,https://biblia.deon.pl/otworz.php?skrot=2%20Krn%2017 https://biblia.deon.pl/otworz.php?skrot=2%20Krn%2018 https://biblia.deon.pl/otworz.php?skrot=2%20Krn%2019 https://biblia.deon.pl/otworz.php?skrot=1%20P%202
261,2027-04-28,2 Krn 20,,Syr 21,Ps 115,J 20,,12883,https://biblia.deon.pl/otworz.php?skrot=2%20Krn%2020 https://biblia.deon.pl/otworz.php?skrot=Syr%2021 https://biblia.deon.pl/otworz.php?skrot=Ps%20115 https://biblia.deon.pl/otworz.php?skrot=J%2020
262,2027-04-29,2 Krn 21,Dn 4,,,,1 P 3,11906,https://biblia.deon.pl/otworz.php?skrot=2%20Krn%2021 https://biblia.deon.pl/otworz.php?skrot=Dn%204 https://biblia.deon.pl/otworz.php?skrot=1%20P%203
263,2027-04-30,2 Krn 22-23,Dn 5,,Ps 116,,,11484,https://biblia.deon.pl/otworz.php?skrot=2%20Krn%2022 https://biblia.deon.pl/otworz.php?skrot=2%20Krn%2023 https://biblia.deon.pl/otworz.php?skrot=Dn%205 https://biblia.deon.pl/otworz.php?skrot=Ps%20116
264,2027-05-01,2 Krn 24,,Syr 22,Ps 117,J 21,1 P 4,13098,https://biblia.deon.pl/otworz.php?skrot=2%20Krn%2024 https://biblia.deon.pl/otworz.php?skrot=Syr%2022 https://biblia.deon.pl/otworz.php?skrot=Ps%20117 https://biblia.deon.pl/otworz.php?skrot=J%2021 https://biblia.deon.pl/otworz.php?skrot=1%20P%204
265,2027-05-02,2 Krn 25-26,,,Ps 118,,1 P 5; 2 P 1,14289,https://biblia.deon.pl/otworz.php?skrot=2%20Krn%2025 https://biblia.deon.pl/otworz.php?skrot=2%20Krn%2026 https://biblia.deon.pl/otworz.php?skrot=Ps%20118 https://biblia.deon.pl/otworz.php?skrot=1%20P%205 https://biblia.deon.pl/otworz.php?skrot=2%20P%201
266,2027-05-03,2 Krn 27-28,Dn 6-7,,,,,14125,https://biblia.deon.pl/otworz.php?skrot=2%20Krn%2027 https://biblia.deon.pl/otworz.php?skrot=2%20Krn%2028 https://biblia.deon.pl/otworz.php?skrot=Dn%206 https://biblia.deon.pl/otworz.php?skrot=Dn%207
267,2027-05-04,2 Krn 29-30,,,,Dz 1,,13102,https://biblia.deon.pl/otworz.php?skrot=2%20Krn%2029 https://biblia.deon.pl/otworz.php?skrot=2%20Krn%2030 https://biblia.deon.pl/otworz.php?skrot=Dz%201
268,2027-05-05,2 Krn 31,Dn 8,Syr 23-24,,,,13873,https://biblia.deon.pl/otworz.php?skrot=2%20Krn%2031 https://biblia.deon.pl/otworz.php?skrot=Dn%208 https://biblia.deon.pl/otworz.php?skrot=Syr%2023 https://biblia.deon.pl/otworz.php?skrot=Syr%2024
269,2027-05-06,2 Krn 32-33,,,,Dz 2,,14197,https://biblia.deon.pl/otworz.php?skrot=2%20Krn%2032 https://biblia.deon.pl/otworz.php?skrot=2%20Krn%2033 https://biblia.deon.pl/otworz.php?skrot=Dz%202
270,2027-05-07,2 Krn 34,,,Ps 119,,,18632,https://biblia.deon.pl/otworz.php?skrot=2%20Krn%2034 https://biblia.deon.pl/otworz.php?skrot=Ps%20119
271,2027-05-08,2 Krn 35,Dn 9,,,,2 P 2,12739,https://biblia.deon.pl/otworz.php?skrot=2%20Krn%2035 https://biblia.deon.pl/otworz.php?skrot=Dn%209 https://biblia.deon.pl/otworz.php?skrot=2%20P%202
272,2027-05-09,2 Krn 36; Ezd 1,Dn 10,,Ps 120,Dz 3,,11828,https://biblia.deon.pl/otworz.php?skrot=2%20Krn%2036 https://biblia.deon.pl/otworz.php?skrot=Ezd%201 https://biblia.deon.pl/otworz.php?skrot=Dn%2010 https://biblia.deon.pl/otworz.php?skrot=Ps%20120 https://biblia.deon.pl/otworz.php?skrot=Dz%203
273,2027-05-10,Ezd 2-3,,Syr 25,Ps 121,,,10561,https://biblia.deon.pl/otworz.php?skrot=Ezd%202 https://biblia.deon.pl/otworz.php?skrot=Ezd%203 https://biblia.deon.pl/otworz.php?skrot=Syr%2025 https://biblia.deon.pl/otworz.php?skrot=Ps%20121
274,2027-05-11,Ezd 4,,Syr 26,,Dz 4,2 P 3,12552,https://biblia.deon.pl/otworz.php?skrot=Ezd%204 https://biblia.deon.pl/otworz.php?skrot=Syr%2026 https://biblia.deon.pl/otworz.php?skrot=Dz%204 https://biblia.deon.pl/otworz.php?skrot=2%20P%203
275,2027-05-12,Ezd 5,Dn 11-12,,Ps 122,,,12151,https://biblia.deon.pl/otworz.php?skrot=Ezd%205 https://biblia.deon.pl/otworz.php?skrot=Dn%2011 https://biblia.deon.pl/otworz.php?skrot=Dn%2012 https://biblia.deon.pl/otworz.php?skrot=Ps%20122
